depth;pointid;oc;th_lat;th_long;survey_date;elev;lc0_desc;lc1_desc;lu1_desc
0-20 cm;147662860;18.7;48.68889773;16.04967587;23/05/18;0;Cropland;Vineyards;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;147682754;419.9;47.73731361;15.96349091;03/07/18;0;Woodland;Pine dominated coniferous woodland;Forestry
0-20 cm;147722780;265.8;47.96748332;16.04417339;17/05/18;0;Woodland;Pine dominated mixed woodland;Forestry
0-20 cm;147722816;19.2;48.29015496;16.08281825;24/05/18;0;Cropland;Temporary grassland;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;147742758;63.8;47.7687947;16.04745715;17/05/18;0;Grassland;Grassland with sparse tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;147742848;18.4;48.57542474;16.14471725;04/07/18;0;Woodland;Pine dominated mixed woodland;Forestry
0-20 cm;147762734;72.1;47.5521552;16.04865989;25/07/18;0;Shrubland;Shrubland with sparse tree cover;Semi-natural and natural areas not in use
0-20 cm;147802732;34.9;47.53127198;16.09950134;19/06/18;0;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;147802746;75.4;47.65678235;16.1143944;16/07/18;0;Woodland;Spruce dominated mixed woodland;Forestry
0-20 cm;147822830;19.3;48.40811053;16.23266131;23/05/18;0;Artificial land;Other artificial areas;Electricity gas and thermal power distribution
0-20 cm;147842688;25.2;47.13378914;16.10583434;04/08/18;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;147882830;15.4;48.40352598;16.31343033;14/06/18;0;Woodland;Broadleaved woodland;Forestry
0-20 cm;147882836;14.5;48.45727905;16.32020173;28/05/18;0;Cropland;Other root crops;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;147942726;49.5;47.46695942;16.27822053;16/07/18;0;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;147942784;37.7;47.98675742;16.34222748;20/08/18;0;Cropland;Dry pulses;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;146142788;14.6;48.1352633;13.93676805;04/06/18;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;147942870;11.4;48.75716362;16.44025251;19/05/18;0;Cropland;Sugar beet;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;147982796;28.4;48.09117243;16.40918794;17/05/18;0;Cropland;Sunflower;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;146202812;12.9;48.34792763;14.03441481;18/06/18;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;130702378;62.1;43.34076231;-5.511277432;10/07/18;0;Woodland;Broadleaved woodland;Forestry
0-20 cm;147782854;21.7;48.62617322;16.20543133;20/06/18;0;Cropland;Barley;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;147802840;18.3;48.4992256;16.21684089;28/05/18;0;Cropland;Barley;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;147822862;19.5;48.69480289;16.26852997;20/06/18;0;Cropland;Barley;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;147982850;16.3;48.57489201;16.47113472;20/06/18;0;Cropland;Durum wheat;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;148002836;19.8;48.44792185;16.4818701;14/06/18;0;Cropland;Temporary grassland;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;148002872;22.1;48.77033238;16.52392271;19/05/18;0;Cropland;Sunflower;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;148082834;26.6;48.42364179;16.58726406;21/05/18;0;Woodland;Broadleaved woodland;Forestry
0-20 cm;148182862;23.2;48.66622515;16.75568769;16/06/18;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;146222796;25.7;48.20323399;14.04980896;15/05/18;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;148182826;14.7;48.34390372;16.7122817;16/06/18;0;Cropland;Sugar beet;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;148202842;14.6;48.48552277;16.7584397;16/06/18;0;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;148222820;25.3;48.28689838;16.75881338;21/05/18;0;Woodland;Broadleaved woodland;Forestry
0-20 cm;148242800;19.2;48.10616571;16.76163138;14/05/18;0;Cropland;Soya;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;146342786;12;48.1073876;14.2035016;04/06/18;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;148282804;54.4;48.1386775;16.81995786;10/06/18;0;Woodland;Broadleaved woodland;Semi-natural and natural areas not in use
0-20 cm;145362624;78.3;46.69278579;12.80882935;11/06/18;0;Woodland;Spruce dominated mixed woodland;Forestry
0-20 cm;145382662;12.3;47.03394887;12.85336413;26/07/18;0;Woodland;Spruce dominated mixed woodland;Forestry
0-20 cm;145402624;52.3;46.69141074;12.86104179;11/06/18;0;Woodland;Spruce dominated mixed woodland;Forestry
